ID,designacao,operadora_id,lastuserupdate,lastdateupdate,deleted,subscribertype
19,International,44,10161,2007-10-16 19:28:58.013,0,2
20,Lonestar,41,10161,2007-10-18 12:45:08.637,0,2
21,Comium,42,10161,2007-10-18 12:45:16.713,0,3
22,AWI,43,10161,2007-10-18 12:46:14.747,0,1
23,Internal,39,10161,2007-10-18 12:46:26.027,0,2
24,LTC,47,10308,2009-03-17 16:27:51.440,0,1
25,International_Gilat,48,10449,2011-04-13 18:24:43.750,0,1
26,WAT,49,10449,2011-07-17 17:56:29.030,0,1
27,US Embassy,50,10333,2012-05-28 15:08:51.820,0,3
28,UNMILL,51,10333,2012-05-29 09:41:03.737,0,3
29,International_BelgaCOM,52,10333,2013-07-15 15:32:44.300,0,3
30,International_OrangeCoteIvoire,58,10486,2016-05-04 11:25:40.703,0,2
31,International_OrangeFrance,59,10290,2020-03-23 02:08:50.770,0,3
33,International_OrangeSL,60,10486,2024-02-08 17:43:38.440,0,2
34,BTS,61,10486,2024-05-03 16:34:21.067,0,1
35,OBF,62,10486,2025-08-12 15:00:26.003,0,2
36,Vasudev,63,10486,2025-12-03 12:41:59.270,0,2
